,code,var_name
255,7235530,Spices nes Producer Price (LCU/tonne)
256,5445530,Strawberries Producer Price (LCU/tonne)
257,4235530,String beans Producer Price (LCU/tonne)
258,1565530,Sugar cane Producer Price (LCU/tonne)
259,1225530,Sweet potatoes Producer Price (LCU/tonne)
260,6675530,Tea Producer Price (LCU/tonne)
261,2755530,Tung nuts Producer Price (LCU/tonne)
262,2225530,"Walnuts, with shell Producer Price (LCU/tonne)"
263,5585530,Berries nes Producer Price (LCU/tonne)
264,1955530,"Cow peas, dry Producer Price (LCU/tonne)"
265,5505530,Currants Producer Price (LCU/tonne)
266,6035530,"Fruit, tropical fresh nes Producer Price (LCU/tonne)"
267,3725530,Lettuce and chicory Producer Price (LCU/tonne)
268,4465530,"Maize, green Producer Price (LCU/tonne)"
269,4495530,Mushrooms and truffles Producer Price (LCU/tonne)
270,2925530,Mustard seed Producer Price (LCU/tonne)
271,2345530,Nuts nes Producer Price (LCU/tonne)
272,5475530,Raspberries Producer Price (LCU/tonne)
273,3735530,Spinach Producer Price (LCU/tonne)
274,975530,Triticale Producer Price (LCU/tonne)
275,5305530,"Cherries, sour Producer Price (LCU/tonne)"
276,5495530,Gooseberries Producer Price (LCU/tonne)
277,1035530,"Grain, mixed Producer Price (LCU/tonne)"
278,2965530,Poppy seed Producer Price (LCU/tonne)
279,7825530,"Bastfibres, other Producer Price (LCU/tonne)"
280,2495530,Coconuts Producer Price (LCU/tonne)
281,10915530,"Eggs, other bird, in shell Producer Price (LCU/tonne)"
282,7205530,Ginger Producer Price (LCU/tonne)
283,7775530,Hemp tow waste Producer Price (LCU/tonne)
284,7805530,Jute Producer Price (LCU/tonne)
285,9735530,"Meat live weight, buffalo Producer Price (LCU/tonne)"
286,9515530,"Milk, whole fresh buffalo Producer Price (LCU/tonne)"
287,1975530,Pigeon peas Producer Price (LCU/tonne)
288,2115530,Pulses nes Producer Price (LCU/tonne)
289,2895530,Sesame seed Producer Price (LCU/tonne)
290,1365530,Taro (cocoyam) Producer Price (LCU/tonne)
291,1375530,Yams Producer Price (LCU/tonne)
292,4595530,Chicory roots Producer Price (LCU/tonne)
293,6615530,"Cocoa, beans Producer Price (LCU/tonne)"
294,1495530,Roots and tubers nes Producer Price (LCU/tonne)
295,2205530,Chestnut Producer Price (LCU/tonne)
296,6565530,"Coffee, green Producer Price (LCU/tonne)"
297,11555530,"Meat live weight, rodents Producer Price (LCU/tonne)"
298,4895530,Plantains and others Producer Price (LCU/tonne)
299,925530,Quinoa Producer Price (LCU/tonne)
300,8365530,"Rubber, natural Producer Price (LCU/tonne)"
301,2165530,"Brazil nuts, with shell Producer Price (LCU/tonne)"
302,895530,Buckwheat Producer Price (LCU/tonne)
303,2175530,"Cashew nuts, with shell Producer Price (LCU/tonne)"
304,8395530,"Gums, natural Producer Price (LCU/tonne)"
305,2575530,"Oil, palm Producer Price (LCU/tonne)"
306,2565530,Palm kernels Producer Price (LCU/tonne)
307,6875530,Pepper (piper spp.) Producer Price (LCU/tonne)
308,7885530,Ramie Producer Price (LCU/tonne)
309,11855530,"Silk-worm cocoons, reelable Producer Price (LCU/tonne)"
310,7895530,Sisal Producer Price (LCU/tonne)
311,11235530,"Meat live weight, ass Producer Price (LCU/tonne)"
312,945530,Fonio Producer Price (LCU/tonne)
313,2635530,Karite nuts (sheanuts) Producer Price (LCU/tonne)
314,2995530,Melonseed Producer Price (LCU/tonne)
315,5525530,Blueberries Producer Price (LCU/tonne)
316,5545530,Cranberries Producer Price (LCU/tonne)
317,11665530,Meat nes Producer Price (LCU/tonne)
